NUTS level,NUTS code,Region name,Dorling,New,SE,Rowthorn,GVA in 1997,GVA in 1998,GVA in 1999,GVA in 2000,GVA in 2001,GVA in 2002,GVA in 2003,GVA in 2004,GVA in 2005,GVA in 2006,GVA in 2007,GVA in 2008,GVA in 2009,GVA in 2010,GVA in 2011,GVA in 2012,GVA in 2013,GVA in 2014,GVA in 2015,GVA in 2016,GVA in  2017,U/E rate - Jul 2004-Jun 2005,U/E rate - Jul 2005-Jun 2006,U/E rate - Jul 2006-Jun 2007,U/E rate - Jul 2007-Jun 2008,U/E rate - Jul 2008-Jun 2009,U/E rate - Jul 2009-Jun 2010,U/E rate - Jul 2010-Jun 2011,U/E rate - Jul 2011-Jun 2012,U/E rate - Jul 2012-Jun 2013,U/E rate - Jul 2013-Jun 2014,U/E rate - Jul 2014-Jun 2015,U/E rate - Jul 2015-Jun 2016,U/E rate - Jul 2016-Jun 2017,U/E rate - Jul 2017-Jun 2018,U/E rate - Jul 2018-Jun 2019,IMD 2019 - Average score ,IMD 2015 - Average score ,LE females 2001-2003,LE females 2002-2004,LE females 2003-2005,LE females 2004-2006,LE females 2005-2007,LE females 2006-2008,LE females 2007-2009,LE females 2008-2010,LE females 2009-2011,LE females 2010-2012,LE females 2011-2013,LE females 2012-2014,LE females 2013-2015,LE females 2014-2016,LE females 2015-2017,LE males 2001-2003,LE males 2002-2004,LE males 2003-2005,LE males 2004-2006,LE males 2005-2007,LE males 2006-2008,LE males 2007-2009,LE males 2008-2010,LE males 2009-2011,LE males 2010-2012,LE males 2011-2013,LE males 2012-2014,LE males 2013-2015,LE males 2014-2016,LE males 2015-2017,GCSE 2018 A*-C %,GCSE 2017 A*-C %,GCSE 2016 A*-C %,GCSE 2015 A*-C %,GCSE 2014 A*-C %,GCSE 2013 A*-C %,GCSE 2012 A*-C %,GCSE 2011 A*-C %,Remain,Leave
NUTS3,UKC11,Hartlepool and Stockton-on-Tees,1,1,1,1,83,81.5,83.4,80.5,77.8,77.7,78.9,81.8,82.1,80.7,77.9,77.4,79.8,77.8,77.5,75.8,75.2,78.5,75.9,73,73.6,6.2,6.45,7.7,7.9,10,10.55,11,13.5,11.75,10.85,8.85,8.6,7.7,7,7.55,30.4135,28.9015,79.056385,79.093075,79.14807,79.25754,79.38623,79.815465,80.28864,81.10793,81.291385,81.7346,81.8076,81.891715,81.533515,81.306185,81.39025,74.3,74.4,74.9,75.1,75.6,75.6,76,76.6,77.2,77.7,78,77.9,77.5,77.2,77.1,62.90%,60.80%,58.80%,59.20%,56.30%,57.80%,51.90%,55.30%,35.80%,64.20%
NUTS3,UKC12,South Teesside,1,1,1,1,69,68.5,70.2,68.9,65.3,67.4,66.6,73.4,71.3,70.2,70.3,70.9,71.9,73.6,71.5,67.8,68.4,65.9,64.6,63.1,62.5,7,7.05,7.75,7.9,10.1,12.55,13.6,14.65,13.65,11.3,9.5,9.45,8.05,6.45,6.25,35.126,34.3915,78.802295,78.942335,79.380305,79.6311,79.94965,80.11256,80.385715,80.646635,80.89589,80.99658,80.98501,80.88715,80.77183,80.6329,80.71089,74.4,74.4,74.5,75.1,75.6,76,76.3,76.7,77,77.4,77.5,77.3,77.1,76.8,76.7,60.90%,59.50%,58.10%,52.70%,51.80%,53.60%,52.40%,49.30%,34.10%,65.90%
NUTS3,UKC13,Darlington,1,1,1,1,91.4,90.3,91.8,90,94.8,98.6,102.3,101.2,92.9,95.2,94.8,94.9,93.2,99.6,98.9,95.7,90.6,96.5,98.4,91.2,91.6,4.6,4.7,5.5,5.7,7.9,8.9,8.4,9.9,9.7,8.5,7.1,7,5.9,5.2,5.2,25.657,23.639,79.5747,79.83694,80.03968,80.02903,80.37557,80.4765,80.79005,81.42246,82.12191,82.5105,82.35887,82.17505,81.92481,82.10443,82.30758,74.8,74.8,75.3,75.3,76.4,76.4,76.7,77.2,77.9,78.5,78.3,78.1,77.9,78.2,78.4,63.20%,60.80%,59.90%,53.20%,58.80%,62.60%,60.70%,63.70%,43.80%,56.20%
NUTS3,UKC14,Durham CC,1,1,1,1,64.2,63.1,61.9,62,61.5,62.8,63.1,62.9,61.3,63.2,61.7,62.8,63.9,65,62.9,62.6,63.5,61.9,63.4,61.2,61.5,4.9,5.5,5.4,5.5,7.8,8.8,8.3,10.2,9.1,8.7,6.6,7,5.7,4.8,5,26.793,25.741,79.18014,79.32579,79.42918,79.86369,80.17796,80.38236,80.63048,80.92248,81.29758,81.47541,81.30393,81.32408,81.24404,81.29505,81.3551,74.9,75.2,75.5,75.9,76.5,76.7,76.8,77,77.4,77.8,77.9,78,78.1,78,78.3,61.90%,58.70%,62.70%,58.10%,61.20%,64.00%,62.80%,60.80%,42.50%,57.50%
NUTS3,UKC21,Northumberland,1,1,1,1,69.9,67.7,63.3,63.8,63.5,66.6,66.3,65.5,65.8,65.4,63.4,63.7,62.5,61.9,62.6,61.9,62.2,64,63.2,61.5,61,4.6,4.8,5.7,5.1,6.6,7.3,7.5,8.3,6.8,7,6.2,6.1,5.6,4.3,4.7,22.079,20.525,80.63693,80.79,80.94683,81.10052,81.21556,81.38248,81.53599,81.98723,82.27124,82.3922,82.43574,82.48534,82.61381,82.64051,82.70303,77.8,78,77.8,78.2,79,79.8,79.8,79.7,79.6,79.8,80,80.5,80.7,81.2,80.9,63.10%,61.20%,61.10%,59.10%,55.50%,55.40%,58.80%,58.50%,45.90%,54.10%
NUTS3,UKC22,Tyneside,1,1,1,1,78.7,79.5,79.8,78.9,82.2,84.3,84.3,87.9,89.2,88.8,85.5,86.8,85,85.6,88.5,87.2,85.7,84.5,86.3,85.6,85.6,6.425,6.875,7.275,6.775,9.125,10.375,9.875,11.575,10.025,9.425,7.75,8.025,6.6,5.525,5.575,27.94875,26.52075,79.6114425,79.62969,79.958765,80.1684175,80.4336775,80.3284375,80.6517275,80.7899,81.27219,81.367205,81.6548275,81.7646925,81.69224,81.645305,81.607255,74.4,74.7,75.1,75.5,75.8,75.9,76.1,76.5,77,77.3,77.4,77.4,77.4,77.5,77.6,62.50%,60.00%,63.40%,60.60%,59.20%,60.60%,58.90%,56.80%,45.40%,54.60%
NUTS3,UKC23,Sunderland,1,1,1,1,76.1,75.7,72,72.7,77.2,79.4,78.6,80.9,85,82.1,80.6,79.1,78.4,77.8,76.9,78.3,78.9,80.9,81.2,81.9,82.3,6.2,6.1,7.4,7.3,9.4,11.2,10.7,12.2,10.4,10.2,8.3,8,7.5,5.7,7,30.586,29.725,78.92298,79.03466,79.38245,79.72194,80.1184,80.28192,80.53535,80.43657,80.72337,80.67006,80.82014,80.72133,80.91181,81.09408,81.29363,73.8,74.3,74.7,75.2,75.5,75.8,76.3,76.7,77.2,77.4,77.4,77.2,77.1,77.2,77.6,56.60%,56.60%,59.20%,52.50%,53.20%,60.50%,62.30%,55.50%,38.70%,61.30%
NUTS3,UKD11,West Cumbria,1,1,1,1,80.8,81,75.5,72.6,70,71,72.5,71,67.1,73.7,73,77.7,82.3,84.2,83.2,83,83.9,84.4,87.3,84.4,85.7,5,4.733333333,4.966666667,5.266666667,6.066666667,6.366666667,7.566666667,8.333333333,7.533333333,7.066666667,5.6,5.033333333,4.466666667,4.233333333,3.733333333,26.35566667,26.633,79.85926,79.85999333,80.32818667,80.45082667,80.57602333,80.19992,80.63348667,81.02496333,81.30882667,81.51178333,81.46269,81.77938,81.59936333,81.64881667,81.50828,76,76,76.2,76.6,76.9,77.4,77.8,78.2,78.5,78.5,78.7,78.9,78.9,78.9,78.9,63.50%,63.40%,59.60%,55.70%,57.20%,54.40%,50.60%,53.40%,39.80%,60.20%
NUTS3,UKD12,East Cumbria,1,1,1,1,91.3,92,89.5,88.9,87.9,89.7,94.4,91,87.5,91.9,90.2,93.7,88.8,91.5,87.9,89.7,92.5,93.3,95.5,90.1,89.3,2.666666667,2.9,2.966666667,3.166666667,3.966666667,4.066666667,4.5,4.5,3.466666667,3.9,2.7,2.766666667,2.633333333,2.233333333,2.1,16.942,16.70833333,81.07102667,81.46217,81.95650667,82.31724333,82.28636333,82.21058333,82.3813,82.70173667,82.92400333,83.02295667,83.33619333,83.84911,84.22882333,84.15483667,84.06283,76.5,76.9,77.2,77.6,77.9,78.1,78.3,78.5,78.8,79.1,79.1,79.4,79.4,79.7,80,66.40%,68.00%,66.00%,61.30%,59.20%,59.30%,60.70%,60.40%,46.70%,53.30%
NUTS3,UKD33,Manchester,1,1,1,1,117.3,121.3,125.1,121.1,128.5,129.6,126.4,130.3,126.7,129.6,127.7,123.7,129.8,128.2,122.9,123.6,126.7,124.7,124.1,129.5,130.3,7.3,7.8,7.5,9.3,10.7,11.9,11.2,12.9,11.9,10.1,7.9,7.5,6.6,5.2,5.4,40.005,40.512,77.76478,77.86671,78.22214,78.41297,78.67559,78.63147,78.7542,78.76898,79.22421,79.4743,79.93122,79.88385,79.80007,79.42977,79.51983,73.7,73.8,74.2,74.6,75.2,75.2,75.4,75.6,76.2,77,77.5,77.3,77.2,77,77.2,57.60%,56.30%,57.00%,51.20%,54.60%,56.70%,55.60%,53.90%,60.40%,39.60%
