NUTS code,x1997,GVA_%_1997,x1998,GVA_%_1998,x1999,GVA_%_1999,x2000,GVA_%_2000,x2001,GVA_%_2001,x2002,GVA_%_2002,x2003,GVA_%_2003,x2004,GVA_%_2004,x2005,GVA_%_2005,x2006,GVA_%_2006,x2007,GVA_%_2007,x2008,GVA_%_2008,x2009,GVA_%_2009,x2010,GVA_%_2010,x2011,GVA_%_2011,x2012,GVA_%_2012,x2013,GVA_%_2013,x2014,GVA_%_2014,x2015,GVA_%_2015,x2016,GVA_%_2016,x2017,GVA_%_2017,Percentage_change
UKI52,11962,81.35,12439,81.44,12916,81.96,13235,79.79,13567,78.99,14040,78.29,14814,78.36,15427,78.33,16102,77.75,16758,77.16,17732,78.32,17886,77.35,16638,73.99,17089,75.02,17329,74.69,18286,76.9,18655,76.02,19026,74.67,19193,73.86,19028,71.14,19440,70.87,-10.48
UKI71,14473,98.43,15143,99.15,15740,99.89,16570,99.89,16615,96.74,17328,96.62,18352,97.07,18962,96.27,19698,95.12,20410,93.98,21636,95.57,22466,97.15,21251,94.51,21592,94.79,21920,94.47,22447,94.39,23269,94.82,25339,99.45,25455,97.95,25403,94.97,25950,94.6,-3.82
UKE31,9039,61.47,9615,62.95,9541,60.55,10069,60.7,10428,60.72,11236,62.65,12094,63.97,12979,65.9,13411,64.76,14043,64.66,14952,66.04,14370,62.14,13938,61.99,14397,63.2,14444,62.25,14608,61.43,15162,61.78,15774,61.91,16661,64.11,17195,64.28,17404,63.45,1.98
UKK12,13950,94.87,14745,96.54,14934,94.77,15659,94.4,17112,99.63,17964,100.17,19491,103.1,20094,102.02,21219,102.46,21857,100.64,22755,100.51,23743,102.68,23165,103.02,24150,106.02,24437,105.32,24655,103.68,25471,103.79,26994,105.94,26880,103.44,27690,103.52,28051,102.26,7.39
UKH24,14086,95.8,14508,94.99,14258,90.48,14956,90.16,15277,88.95,15962,89,17249,91.24,18041,91.6,18978,91.64,19534,89.94,20544,90.74,20822,90.04,20768,92.36,20698,90.86,21364,92.08,20942,88.07,21342,86.96,22266,87.39,23691,91.16,23846,89.15,24622,89.76,-6.03
UKJ11,23210,157.85,24810,162.44,26873,170.54,27558,166.13,27893,162.4,30186,168.32,31823,168.33,32002,162.48,34241,165.34,35336,162.7,35902,158.58,36050,155.9,34786,154.7,35141,154.27,36369,156.75,37229,156.56,38057,155.08,38665,151.75,39697,152.76,40300,150.66,40343,147.08,-10.77
UKI51,11348,77.18,11882,77.8,12514,79.41,13044,78.64,13318,77.54,13711,76.45,14400,76.17,14892,75.61,15619,75.42,16382,75.43,17352,76.64,17289,74.77,16567,73.68,16594,72.85,16873,72.72,17404,73.19,18088,73.71,18662,73.24,18399,70.8,18136,67.8,18751,68.36,-8.82
UKG31,13627,92.68,14613,95.68,15185,96.36,15551,93.75,16565,96.45,16773,93.53,17636,93.29,18065,91.72,18727,90.43,19009,87.53,20094,88.75,20164,87.2,19655,87.41,19765,86.77,20152,86.85,20315,85.43,21142,86.15,21909,85.99,22642,87.13,24218,90.54,24761,90.27,-2.41
UKD41,11694,79.53,11998,78.56,12444,78.97,12729,76.74,12526,72.93,13056,72.8,13682,72.37,14758,74.93,15189,73.34,15352,70.69,16549,73.1,17004,73.53,15885,70.64,15486,67.98,16318,70.33,16998,71.48,17895,72.92,18986,74.51,18985,73.06,20008,74.8,20566,74.98,-4.55
UKD42,10314,70.14,10861,71.11,11650,73.93,11713,70.61,11792,68.66,12952,72.22,12782,67.61,13272,67.38,13892,67.08,14596,67.21,14426,63.72,13992,60.51,14337,63.76,14767,64.83,14973,64.53,15109,63.54,15311,62.39,15625,61.32,16311,62.77,16813,62.85,17382,63.37,-6.78
UKK21,14151,96.24,14562,95.34,15027,95.36,15964,96.24,16390,95.43,16692,93.07,18013,95.28,18178,92.29,19800,95.61,20671,95.18,21255,93.88,21585,93.34,22162,98.56,20907,91.78,21109,90.98,21700,91.25,22637,92.24,23263,91.3,23745,91.37,24785,92.66,25504,92.98,-3.26
UKE41,11614,78.99,12161,79.62,12915,81.96,13214,79.66,13253,77.16,13888,77.44,14373,76.03,14532,73.78,14726,71.11,15830,72.89,16701,73.77,16606,71.81,16864,75,15935,69.95,16221,69.91,16626,69.92,17238,70.24,17578,68.99,18572,71.47,18942,70.81,19045,69.43,-9.55
UKH17,12027,81.79,12163,79.64,12494,79.29,12901,77.77,13255,77.18,13603,75.85,14243,75.34,14770,74.99,15281,73.79,15954,73.46,16039,70.84,16697,72.21,16396,72.92,17324,76.05,17848,76.92,18954,79.71,19067,77.69,20022,78.58,20369,78.38,20520,76.71,20422,74.45,-7.34
UKI72,15285,103.95,15882,103.99,16691,105.92,17304,104.32,17186,100.06,17779,99.14,18659,98.7,19089,96.92,19998,96.57,20381,93.84,21066,93.05,21445,92.74,19876,88.39,20285,89.05,20390,87.88,22262,93.62,23111,94.17,24540,96.31,24847,95.61,25819,96.52,26371,96.14,-7.81
UKJ21,13992,95.16,14196,92.95,14310,90.81,15160,91.39,16559,96.41,18068,100.75,18783,99.35,18885,95.88,19813,95.67,20485,94.32,21527,95.08,22254,96.24,21442,95.36,21299,93.5,21324,91.91,22614,95.1,23686,96.52,24803,97.34,25680,98.82,26403,98.71,27081,98.73,3.57
UKK11,19044,129.52,19425,127.19,19766,125.43,20004,120.59,21427,124.76,22567,125.83,22652,119.82,23327,118.44,23968,115.74,25158,115.84,26724,118.04,27041,116.94,27241,121.15,28155,123.6,27291,117.62,27863,117.17,28920,117.84,30554,119.91,30447,117.16,31159,116.49,31812,115.98,-13.54
UKI61,14609,99.35,15495,101.45,16193,102.76,16947,102.16,17316,100.82,18041,100.6,19298,102.08,20185,102.48,21106,101.92,22069,101.62,23126,102.15,21721,93.93,20766,92.35,20029,87.93,20015,86.26,20830,87.59,20919,85.24,21973,86.24,21768,83.76,22227,83.09,22449,81.84,-17.51
UKJ13,18033,122.64,19046,124.7,19173,121.67,20394,122.94,20457,119.11,20921,116.66,21867,115.67,23039,116.97,23200,112.03,23668,108.98,24367,107.63,25573,110.59,24992,111.14,25227,110.75,25574,110.22,26800,112.7,27408,111.68,28080,110.2,29330,112.86,29949,111.96,29923,109.09,-13.55
UKE44,11393,77.48,11880,77.78,12248,77.73,12420,74.87,12589,73.3,12847,71.63,13956,73.82,14810,75.19,15374,74.24,15802,72.76,16363,72.27,16421,71.01,16033,71.3,16263,71.39,16666,71.83,17183,72.26,17279,70.41,17677,69.38,18291,70.39,18752,70.1,19147,69.8,-7.68
