"","LAD19NM","LAD19CD","LAD19NMW","nuts318cd"
"0","Hartlepool","E06000001"," ","UKC11"
"1","Middlesbrough","E06000002"," ","UKC12"
"2","Redcar and Cleveland","E06000003"," ","UKC12"
"3","Stockton-on-Tees","E06000004"," ","UKC11"
"4","Darlington","E06000005"," ","UKC13"
"5","Halton","E06000006"," ","UKD71"
"6","Warrington","E06000007"," ","UKD61"
"7","Blackburn with Darwen","E06000008"," ","UKD41"
"8","Blackpool","E06000009"," ","UKD42"
"9","Kingston upon Hull, City of","E06000010"," ","UKE11"
"10","East Riding of Yorkshire","E06000011"," ","UKE12"
"11","North East Lincolnshire","E06000012"," ","UKE13"
"12","North Lincolnshire","E06000013"," ","UKE13"
"13","York","E06000014"," ","UKE21"
"14","Derby","E06000015"," ","UKF11"
"15","Leicester","E06000016"," ","UKF21"
"16","Rutland","E06000017"," ","UKF22"
"17","Nottingham","E06000018"," ","UKF14"
"18","Herefordshire, County of","E06000019"," ","UKG11"
"19","Telford and Wrekin","E06000020"," ","UKG21"
"20","Stoke-on-Trent","E06000021"," ","UKG23"
"21","Bath and North East Somerset","E06000022"," ","UKK12"
"22","Bristol, City of","E06000023"," ","UKK11"
"23","North Somerset","E06000024"," ","UKK12"
"24","South Gloucestershire","E06000025"," ","UKK12"
"25","Plymouth","E06000026"," ","UKK41"
"26","Torbay","E06000027"," ",NA
"27","Swindon","E06000030"," ","UKK14"
"28","Peterborough","E06000031"," ","UKH11"
"29","Luton","E06000032"," ","UKH21"
"30","Southend-on-Sea","E06000033"," ","UKH31"
"31","Thurrock","E06000034"," ","UKH32"
"32","Medway","E06000035"," ","UKJ41"
"33","Bracknell Forest","E06000036"," ","UKJ11"
"34","West Berkshire","E06000037"," ","UKJ11"
"35","Reading","E06000038"," ","UKJ11"
"36","Slough","E06000039"," ","UKJ11"
"37","Windsor and Maidenhead","E06000040"," ","UKJ11"
"38","Wokingham","E06000041"," ","UKJ11"
"39","Milton Keynes","E06000042"," ","UKJ12"
"40","Brighton and Hove","E06000043"," ","UKJ21"
"41","Portsmouth","E06000044"," ","UKJ31"
"42","Southampton","E06000045"," ","UKJ32"
"43","Isle of Wight","E06000046"," ","UKJ34"
"44","County Durham","E06000047"," ","UKC14"
"45","Cheshire East","E06000049"," ","UKD62"
"46","Cheshire West and Chester","E06000050"," ","UKD63"
"47","Shropshire","E06000051"," ","UKG22"
"48","Cornwall","E06000052"," ","UKK30"
"49","Isles of Scilly","E06000053"," ",NA
"50","Wiltshire","E06000054"," ","UKK15"
"51","Bedford","E06000055"," ","UKH24"
"52","Central Bedfordshire","E06000056"," ","UKH25"
"53","Northumberland","E06000057"," ","UKC21"
"54","Bournemouth, Christchurch and Poole","E06000058"," ","UKK21"
"55","Dorset","E06000059"," ","UKK22"
"56","Aylesbury Vale","E07000004"," ","UKJ13"
"57","Chiltern","E07000005"," ","UKJ13"
"58","South Bucks","E07000006"," ","UKJ13"
"59","Wycombe","E07000007"," ","UKJ13"
"60","Cambridge","E07000008"," ","UKH12"
"61","East Cambridgeshire","E07000009"," ","UKH12"
"62","Fenland","E07000010"," ","UKH12"
"63","Huntingdonshire","E07000011"," ","UKH12"
"64","South Cambridgeshire","E07000012"," ","UKH12"
"65","Allerdale","E07000026"," ","UKD11"
"66","Barrow-in-Furness","E07000027"," ","UKD11"
"67","Carlisle","E07000028"," ","UKD12"
"68","Copeland","E07000029"," ","UKD11"
"69","Eden","E07000030"," ","UKD12"
"70","South Lakeland","E07000031"," ","UKD12"
"71","Amber Valley","E07000032"," ","UKF13"
"72","Bolsover","E07000033"," ","UKF12"
"73","Chesterfield","E07000034"," ","UKF12"
"74","Derbyshire Dales","E07000035"," ","UKF13"
"75","Erewash","E07000036"," ","UKF13"
"76","High Peak","E07000037"," ","UKF13"
"77","North East Derbyshire","E07000038"," ","UKF12"
"78","South Derbyshire","E07000039"," ","UKF13"
"79","East Devon","E07000040"," ","UKK43"
"80","Exeter","E07000041"," ","UKK43"
"81","Mid Devon","E07000042"," ","UKK43"
"82","North Devon","E07000043"," ","UKK43"
"83","South Hams","E07000044"," ","UKK43"
"84","Teignbridge","E07000045"," ","UKK43"
"85","Torridge","E07000046"," ","UKK43"
"86","West Devon","E07000047"," ","UKK43"
"87","Eastbourne","E07000061"," ","UKJ22"
"88","Hastings","E07000062"," ","UKJ22"
"89","Lewes","E07000063"," ","UKJ22"
"90","Rother","E07000064"," ","UKJ22"
"91","Wealden","E07000065"," ","UKJ22"
"92","Basildon","E07000066"," ","UKH37"
